Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Power (dB)	Begin Date	Delta Time (s)	Begin File	Begin Path	Center Freq (Hz)	Delta Freq (Hz)	Notes
1	Spectrogram 1	1	4.874738719	56.715011860	732.8	928.2	818.3	882.9	47.4		51.840	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	861.3	195.4	INSB_S
2	Spectrogram 1	1	0.000000000	59.842462955	5266.3	5647.3	5340.2	5534.0	61.2		59.842	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5404.8	381.0	INSECT_S
3	Spectrogram 1	1	1.174956803	30.329169342	1993.0	4650.3	2971.6	3832.9	66.5		29.154	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3316.1	2657.3	ORHT_S
4	Spectrogram 1	1	11.710433376	12.596096404	1780.9	2447.6	2261.0	2325.6	53.5		0.886	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2304.1	666.7	CRSE_!
5	Spectrogram 1	1	8.336142332	9.393874999	2027.9	3391.6	2476.3	2885.4	56.3		1.058	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2584.0	1363.7	WHRS_1
6	Spectrogram 1	1	15.405918583	16.389988615	1684.8	3118.3	2239.5	2562.5	54.8		0.984	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2476.3	1433.5	WHRS_1
7	Spectrogram 1	1	20.527356479	22.266962960	1201.8	1538.4	1356.6	1421.2	55.5		1.740	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1399.7	336.6	GRJF_1
8	Spectrogram 1	1	25.042993281	25.731842304	1730.7	3164.3	2304.1	2562.5	57.4		0.689	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2476.3	1433.6	WHRS_1
9	Spectrogram 1	1	31.800006477	33.609197218	1048.9	1643.3	1335.1	1421.2	57.9		1.809	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1356.6	594.4	GRJF_1
10	Spectrogram 1	1	38.914381297	48.134295648	2097.9	4125.8	2713.2	3079.2	75.0		9.220	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2842.4	2027.9	PUTB_s
11	Spectrogram 1	1	37.209566946	47.577621574	2291.3	10476.7	2799.3	3466.8	68.9		10.368	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2907.0	8185.4	COTB_4
12	Spectrogram 1	1	17.861632847	27.677731413	247.2	445.8	301.5	387.6	44.9		9.816	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	344.5	198.6	GRCO_1
13	Spectrogram 1	1	42.058307459	48.110338153	292.8	445.8	344.5	387.6	44.4		6.052	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	153.0	GRCO_1
14	Spectrogram 1	1	61.191998373	67.097594444	263.8	488.5	344.5	387.6	54.7		5.906	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	224.7	GRCO_1
15	Spectrogram 1	1	13.645367617	65.915534525	699.3	817.3	753.7	775.2	45.7		52.270	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	775.2	118.0	COSB_s
16	Spectrogram 1	1	43.538682255	45.382665125	1014.0	1993.0	1378.1	1722.7	59.4		1.844	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1507.3	979.0	GRJF_1
17	Spectrogram 1	1	48.757501699	49.564582787	1269.9	4906.2	3100.8	3143.8	69.8		0.807	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3122.3	3636.3	AFBB_1
18	Spectrogram 1	1	52.445467439	52.836615642	1549.6	5011.1	3186.9	3337.6	74.6		0.391	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3316.1	3461.5	AFBB_1
19	Spectrogram 1	1	55.298422068	55.579710856	1864.3	5015.4	3359.2	3962.1	58.4		0.281	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3574.5	3151.1	AFBB_1
20	Spectrogram 1	1	58.255753086	58.765637583	1095.1	4346.8	2691.7	3337.6	53.0		0.510	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3079.2	3251.7	AFBB_1
21	Spectrogram 1	1	60.865162808	61.496431920	1165.0	5046.1	2907.0	3660.6	55.9		0.631	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3294.6	3881.1	AFBB_1
22	Spectrogram 1	1	49.293963528	57.683160548	1409.7	5081.0	2863.9	4435.8	71.4		8.389	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3337.6	3671.3	ORHT_s
23	Spectrogram 1	1	64.239999382	65.422931789	1923.1	10150.9	5275.6	6395.4	58.2		1.183	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5792.4	8227.8	UNID_1
24	Spectrogram 1	1	32.312645234	34.156628104	1713.3	3892.2	2584.0	3036.2	57.4		1.844	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2863.9	2178.9	REVB_1
25	Spectrogram 1	1	60.139168519	101.820139809	5227.2	5676.6	5318.7	5534.0	61.9		41.681	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5383.3	449.4	INSECT_s
26	Spectrogram 1	1	71.968492591	119.285788881	273.6	469.0	344.5	387.6	53.0		47.317	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	195.4	GRCO_s
